tconst	primaryTitle	originalTitle	startYear	runtimeMinutes	genres	averageRating	numVotes
tt0002130	Dante's Inferno	L'Inferno	1911	71	Adventure,Drama,Fantasy	7.0	3083
tt0002844	Fantômas: In the Shadow of the Guillotine	Fantômas - À l'ombre de la guillotine	1913	54	Crime,Drama	6.9	2361
tt0003014	Ingeborg Holm	Ingeborg Holm	1913	96	Drama	7.0	1299
tt0003037	Fantomas: The Man in Black	Juve contre Fantômas	1913	61	Crime,Drama	6.9	1605
tt0003165	Fantômas: The Dead Man Who Killed	Le mort qui tue	1913	90	Crime,Drama,Mystery	6.9	1269
tt0003419	The Student of Prague	Der Student von Prag	1913	85	Drama,Fantasy,Horror	6.4	2215
tt0003643	The Avenging Conscience: or 'Thou Shalt Not Kill'	The Avenging Conscience: or 'Thou Shalt Not Kill'	1914	78	Crime,Drama,Horror	6.4	1326
tt0003740	Cabiria	Cabiria	1914	148	Adventure,Drama,History	7.1	3704
tt0003772	Cinderella	Cinderella	1914	52	Drama,Fantasy	6.1	1046
tt0003930	Fantomas: The Mysterious Finger Print	Fantômas contre Fantômas	1914	59	Crime,Drama	6.8	1366
tt0003952	Fantômas: The False Magistrate	Le faux magistrat	1914	70	Crime,Drama	6.7	1135
tt0004026	The Golem	Der Golem	1914	60	Horror	6.7	1198
tt0004181	Judith of Bethulia	Judith of Bethulia	1914	61	Drama	6.3	1394
tt0004465	The Perils of Pauline	The Perils of Pauline	1914	199	Action,Adventure,Drama	6.4	1060
tt0004707	Tillie's Punctured Romance	Tillie's Punctured Romance	1914	82	Comedy	6.3	3595
tt0004972	The Birth of a Nation	The Birth of a Nation	1915	195	Drama,War	6.2	25299
tt0005060	Carmen	Carmen	1915	59	Drama	6.3	1026
tt0005078	The Cheat	The Cheat	1915	59	Drama,Romance	6.5	2642
tt0005960	The Regeneration	The Regeneration	1915	72	Biography,Crime,Drama	6.8	1343
tt0006206	Les vampires	Les vampires	1915	421	Action,Adventure,Crime	7.3	5107
tt0006333	20,000 Leagues Under the Sea	20,000 Leagues Under the Sea	1916	85	Action,Adventure,Sci-Fi	6.1	1875
tt0006780	Hell's Hinges	Hell's Hinges	1916	64	Romance,Western	6.7	1010
tt0006864	Intolerance	Intolerance: Love's Struggle Throughout the Ages	1916	163	Drama,History	7.7	15964
tt0006886	Judex	Judex	1916	300	Adventure,Crime	7.2	1067
tt0008443	The Poor Little Rich Girl	The Poor Little Rich Girl	1917	78	Comedy,Drama,Family	6.7	1473
tt0008663	A Man There Was	Terje Vigen	1917	65	Drama,War	7.3	2171
tt0008879	The Outlaw and His Wife	Berg-Ejvind och hans hustru	1918	136	Drama	7.2	1971
tt0009150	Hearts of the World	Hearts of the World	1918	117	Drama,War	6.6	1056
tt0009369	Mickey	Mickey	1918	93	Comedy,Drama	6.1	1142
tt0009652	Stella Maris	Stella Maris	1918	84	Drama	6.9	1504
tt0009878	Different from the Others	Anders als die Andern	1919	50	Crime,Drama,History	7.0	1372
tt0009892	Auction of Souls	Ravished Armenia	1919	80	Drama,History,Romance	5.5	1198
tt0009893	The Oyster Princess	Die Austernprinzessin	1919	60	Comedy	7.2	2057
tt0009937	Blind Husbands	Blind Husbands	1919	102	Drama,Romance	6.9	1621
tt0009968	Broken Blossoms	Broken Blossoms or The Yellow Man and the Girl	1919	90	Drama,Romance	7.2	10638
tt0010040	Daddy-Long-Legs	Daddy-Long-Legs	1919	85	Comedy,Drama	6.6	1435
tt0010071	Don't Change Your Husband	Don't Change Your Husband	1919	71	Comedy	6.6	1235
tt0010247	Sir Arne's Treasure	Herr Arnes pengar	1919	122	Drama,History	7.1	1476
tt0010267	The Hoodlum	The Hoodlum	1919	78	Comedy	6.7	1011
tt0010281	I Don't Want to Be a Man	Ich möchte kein Mann sein	1918	45	Comedy,Romance	6.8	1531
tt0010307	J'accuse!	J'accuse	1919	166	Drama,Horror,War	7.7	1872
tt0010323	The Cabinet of Dr. Caligari	Das Cabinet des Dr. Caligari	1920	76	Horror,Mystery,Thriller	8.0	65839
tt0010418	Male and Female	Male and Female	1919	116	Adventure,Drama	7.0	1905
tt0010600	The Doll	Die Puppe	1919	66	Comedy,Fantasy,Sci-Fi	7.4	2195
tt0010726	The Spiders - Episode 1: The Golden Sea	Die Spinnen, 1. Teil - Der Goldene See	1919	81	Adventure,Western	6.5	1335
tt0010806	True Heart Susie	True Heart Susie	1919	87	Comedy,Drama,Romance	6.9	1874
tt0011000	Leaves From Satan's Book	Blade af Satans bog	1920	167	Drama	6.6	1303
tt0011130	Dr. Jekyll and Mr. Hyde	Dr. Jekyll and Mr. Hyde	1920	69	Drama,Horror,Sci-Fi	6.9	5643
tt0011221	Genuine: The Tragedy of a Vampire	Genuine	1920	88	Horror	5.9	1077
tt0011237	The Golem	Der Golem, wie er in die Welt kam	1920	76	Fantasy,Horror	7.2	8009
tt0011387	The Last of the Mohicans	The Last of the Mohicans	1920	73	Action,Adventure,Drama	6.7	1351
tt0011439	The Mark of Zorro	The Mark of Zorro	1920	79	Adventure,Romance,Western	7.1	2618
tt0011565	The Penalty	The Penalty	1920	90	Crime,Drama,Horror	7.4	2487
tt0011607	The Parson's Widow	Prästänkan	1920	94	Comedy,Drama,Horror	7.1	1414
tt0011652	The Saphead	The Saphead	1920	77	Comedy,Drama,Romance	6.1	1662
tt0011723	The Spiders - Episode 2: The Diamond Ship	Die Spinnen, 2. Teil - Das Brillantenschiff	1920	104	Adventure	6.1	1007
tt0011841	Way Down East	Way Down East	1920	145	Drama,Romance	7.4	5658
tt0011865	Why Change Your Wife?	Why Change Your Wife?	1920	90	Comedy,Drama	6.7	1458
tt0011870	Within Our Gates	Within Our Gates	1920	79	Drama,Romance	6.4	3328
tt0011904	The Ace of Hearts	The Ace of Hearts	1921	75	Crime,Drama,Mystery	6.8	1269
tt0011909	The Affairs of Anatol	The Affairs of Anatol	1921	117	Comedy,Drama	6.7	1319
tt0011960	The Wildcat	Die Bergkatze	1921	79	Comedy,Drama,Romance	6.9	1234
tt0012027	Camille	Camille	1921	72	Drama,Romance	6.5	1027
tt0012190	The Four Horsemen of the Apocalypse	The Four Horsemen of the Apocalypse	1921	150	Drama,Romance,War	7.2	3421
tt0012349	The Kid	The Kid	1921	68	Comedy,Drama,Family	8.3	128181
tt0012364	The Phantom Carriage	Körkarlen	1921	107	Drama,Fantasy,Horror	8.0	13133
tt0012494	Destiny	Der müde Tod	1921	97	Drama,Fantasy,Horror	7.6	6288
tt0012532	Orphans of the Storm	Orphans of the Storm	1921	150	Drama,History,Romance	7.3	5279
tt0012642	A Sailor-Made Man	A Sailor-Made Man	1921	47	Comedy	6.8	1169
